id,date,type,nom_gare,year,comptage_normalise
257,2021-02-27,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
258,2021-02-27,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
259,2021-02-27,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
260,2021-02-27,"Livres, articles de papéterie",Paris Gare de Lyon,2021,
261,2021-02-27,"Articles d enfants, de puériculture",Paris Gare de Lyon,2021,
262,2021-02-27,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
263,2021-02-28,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
264,2021-02-28,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
265,2021-03-01,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
266,2021-03-01,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
267,2021-03-02,"Livres, articles de papéterie",Paris Gare de Lyon,2021,
268,2021-03-02,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
269,2021-03-02,"Vélos, trottinettes, accessoires 2 roues",Paris Gare de Lyon,2021,
270,2021-03-02,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
271,2021-03-03,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
272,2021-03-03,Optique,Paris Gare de Lyon,2021,
273,2021-03-04,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
274,2021-03-04,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
275,2021-03-04,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
276,2021-03-04,"Livres, articles de papéterie",Paris Gare de Lyon,2021,
277,2021-03-04,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
278,2021-03-04,Optique,Paris Gare de Lyon,2021,
279,2021-03-05,"Vêtements, chaussures",Paris Gare de Lyon,2021,
280,2021-03-05,Parapluies,Paris Gare de Lyon,2021,
281,2021-03-05,Divers,Paris Gare de Lyon,2021,
282,2021-03-05,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
283,2021-03-05,"Vélos, trottinettes, accessoires 2 roues",Paris Gare de Lyon,2021,
284,2021-03-05,"Articles d enfants, de puériculture",Paris Gare de Lyon,2021,
285,2021-03-05,"Bijoux, montres",Paris Gare de Lyon,2021,
286,2021-03-05,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
287,2021-03-05,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,2021,
288,2021-03-05,Articles médicaux,Paris Gare de Lyon,2021,
289,2021-03-05,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
290,2021-03-05,Optique,Paris Gare de Lyon,2021,
291,2021-03-06,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
292,2021-03-06,"Vêtements, chaussures",Paris Gare de Lyon,2021,
293,2021-03-06,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
294,2021-03-06,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
295,2021-03-07,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
296,2021-03-07,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
297,2021-03-07,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
298,2021-03-07,Divers,Paris Gare de Lyon,2021,
299,2021-03-07,Optique,Paris Gare de Lyon,2021,
300,2021-03-07,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,2021,
301,2021-03-08,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
302,2021-03-08,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
303,2021-03-08,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
304,2021-03-08,Optique,Paris Gare de Lyon,2021,
305,2021-03-08,"Vêtements, chaussures",Paris Gare de Lyon,2021,
306,2021-03-08,Divers,Paris Gare de Lyon,2021,
307,2021-03-08,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
308,2021-03-09,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
309,2021-03-09,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
310,2021-03-09,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
311,2021-03-09,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,2021,
312,2021-03-09,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
313,2021-03-10,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
314,2021-03-10,"Vêtements, chaussures",Paris Gare de Lyon,2021,
315,2021-03-10,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
316,2021-03-10,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
317,2021-03-10,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
318,2021-03-10,"Vélos, trottinettes, accessoires 2 roues",Paris Gare de Lyon,2021,
319,2021-03-10,Articles médicaux,Paris Gare de Lyon,2021,
320,2021-03-10,"Bijoux, montres",Paris Gare de Lyon,2021,
321,2021-03-10,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,2021,
322,2021-03-11,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
323,2021-03-11,"Vêtements, chaussures",Paris Gare de Lyon,2021,
324,2021-03-11,"Bijoux, montres",Paris Gare de Lyon,2021,
325,2021-03-11,Articles médicaux,Paris Gare de Lyon,2021,
326,2021-03-11,"Vélos, trottinettes, accessoires 2 roues",Paris Gare de Lyon,2021,
327,2021-03-11,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
328,2021-03-11,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
329,2021-03-12,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,2021,
330,2021-03-12,Optique,Paris Gare de Lyon,2021,
331,2021-03-12,Divers,Paris Gare de Lyon,2021,
332,2021-03-12,"Articles de sport, loisirs, camping",Paris Gare de Lyon,2021,
333,2021-03-13,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,2021,
334,2021-03-13,"Vélos, trottinettes, accessoires 2 roues",Paris Gare de Lyon,2021,
335,2021-03-13,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,2021,
336,2021-03-14,Pièces d identités et papiers personnels,Paris Gare de Lyon,2021,
