date,type,gare
2021-01-23,vetements,Paris Gare de Lyon
2021-01-23,electronique,Paris Gare de Lyon
2021-01-23,clé,Paris Gare de Lyon
2021-01-23,bagages,Paris Gare de Lyon
2021-01-23,papiers,Paris Gare de Lyon
2021-01-23,bagages,Paris Gare de Lyon
2021-01-23,bagages,Paris Gare de Lyon
2021-01-23,bagages,Paris Gare de Lyon
2021-01-23,vetements,Paris Gare de Lyon
2021-01-23,bagages,Paris Gare de Lyon
2021-01-24,clé,Paris Gare de Lyon
2021-01-24,clé,Paris Gare de Lyon
2021-01-24,clé,Paris Gare de Lyon
2021-01-24,clé,Paris Gare de Lyon
2021-01-24,clé,Paris Gare de Lyon
2021-01-24,clé,Paris Gare de Lyon
2021-01-24,clé,Paris Gare de Lyon
2021-01-24,papiers,Paris Gare de Lyon
2021-01-24,clé,Paris Gare de Lyon
2021-01-24,electronique,Paris Gare de Lyon
2021-01-24,optique,Paris Gare de Lyon
2021-01-24,optique,Paris Gare de Lyon
2021-01-24,electronique,Paris Gare de Lyon
2021-01-24,médical,Paris Gare de Lyon
2021-01-24,bagages,Paris Gare de Lyon
2021-01-24,bagages,Paris Gare de Lyon
2021-01-24,electronique,Paris Gare de Lyon
2021-01-25,livres,Paris Gare de Lyon
2021-01-25,electronique,Paris Gare de Lyon
2021-01-26,bagages,Paris Gare de Lyon
2021-01-26,clé,Paris Gare de Lyon
2021-01-26,electronique,Paris Gare de Lyon
2021-01-26,electronique,Paris Gare de Lyon
2021-01-26,optique,Paris Gare de Lyon
2021-01-26,clé,Paris Gare de Lyon
2021-01-26,papiers,Paris Gare de Lyon
2021-01-26,electronique,Paris Gare de Lyon
2021-01-26,clé,Paris Gare de Lyon
2021-01-26,electronique,Paris Gare de Lyon
2021-01-26,optique,Paris Gare de Lyon
2021-01-26,bagages,Paris Gare de Lyon
2021-01-27,clé,Paris Gare de Lyon
2021-01-27,bagages,Paris Gare de Lyon
2021-01-27,electronique,Paris Gare de Lyon
2021-01-27,electronique,Paris Gare de Lyon
2021-01-27,articles enfants,Paris Gare de Lyon
2021-01-27,clé,Paris Gare de Lyon
2021-01-27,clé,Paris Gare de Lyon
2021-01-27,papiers,Paris Gare de Lyon
2021-01-27,papiers,Paris Gare de Lyon
2021-01-27,papiers,Paris Gare de Lyon
2021-01-28,bagages,Paris Gare de Lyon
2021-01-28,bagages,Paris Gare de Lyon
2021-01-28,bagages,Paris Gare de Lyon
2021-01-28,papiers,Paris Gare de Lyon
2021-01-28,papiers,Paris Gare de Lyon
2021-01-28,bagages,Paris Gare de Lyon
2021-01-28,clé,Paris Gare de Lyon
2021-01-28,clé,Paris Gare de Lyon
2021-01-28,clé,Paris Gare de Lyon
2021-01-28,clé,Paris Gare de Lyon
2021-01-28,clé,Paris Gare de Lyon
2021-01-28,bagages,Paris Gare de Lyon
2021-01-28,electronique,Paris Gare de Lyon
2021-01-28,clé,Paris Gare de Lyon
2021-01-28,clé,Paris Gare de Lyon
2021-01-28,bagages,Paris Gare de Lyon
2021-01-28,clé,Paris Gare de Lyon
2021-01-28,clé,Paris Gare de Lyon
2021-01-28,bagages,Paris Gare de Lyon
2021-01-29,electronique,Paris Gare de Lyon
2021-01-29,bagages,Paris Gare de Lyon
2021-01-29,optique,Paris Gare de Lyon
2021-01-29,optique,Paris Gare de Lyon
2021-01-29,bagages,Paris Gare de Lyon
2021-01-30,bagages,Paris Gare de Lyon
2021-01-30,bagages,Paris Gare de Lyon
2021-01-30,bagages,Paris Gare de Lyon
2021-01-31,papiers,Paris Gare de Lyon
2021-01-31,clé,Paris Gare de Lyon
2021-01-31,vetements,Paris Gare de Lyon
2021-01-31,clé,Paris Gare de Lyon
2021-01-31,clé,Paris Gare de Lyon
2021-01-31,clé,Paris Gare de Lyon
2021-01-31,clé,Paris Gare de Lyon
2021-01-31,clé,Paris Gare de Lyon
2021-01-31,bagages,Paris Gare de Lyon
2021-01-31,bijoux/montres,Paris Gare de Lyon
2021-01-31,bagages,Paris Gare de Lyon
2021-02-01,médical,Paris Gare de Lyon
2021-02-01,clé,Paris Gare de Lyon
2021-02-01,optique,Paris Gare de Lyon
2021-02-01,electronique,Paris Gare de Lyon
2021-02-01,bagages,Paris Gare de Lyon
2021-02-01,electronique,Paris Gare de Lyon
2021-02-01,electronique,Paris Gare de Lyon
2021-02-01,clé,Paris Gare de Lyon
2021-02-01,velo/trottinette,Paris Gare de Lyon
2021-02-01,electronique,Paris Gare de Lyon
2021-02-02,bagages,Paris Gare de Lyon
2021-02-02,electronique,Paris Gare de Lyon
2021-02-02,clé,Paris Gare de Lyon
2021-02-02,bagages,Paris Gare de Lyon
2021-02-02,bagages,Paris Gare de Lyon
2021-02-02,bagages,Paris Gare de Lyon
2021-02-02,bagages,Paris Gare de Lyon
2021-02-03,electronique,Paris Gare de Lyon
2021-02-03,bagages,Paris Gare de Lyon
2021-02-03,bagages,Paris Gare de Lyon
2021-02-03,electronique,Paris Gare de Lyon
2021-02-03,electronique,Paris Gare de Lyon
2021-02-03,electronique,Paris Gare de Lyon
2021-02-03,bagages,Paris Gare de Lyon
2021-02-03,clé,Paris Gare de Lyon
2021-02-03,clé,Paris Gare de Lyon
2021-02-03,bagages,Paris Gare de Lyon
2021-02-03,bagages,Paris Gare de Lyon
2021-02-03,vetements,Paris Gare de Lyon
2021-02-03,bagages,Paris Gare de Lyon
2021-02-04,bagages,Paris Gare de Lyon
2021-02-04,bagages,Paris Gare de Lyon
2021-02-04,bagages,Paris Gare de Lyon
2021-02-04,bagages,Paris Gare de Lyon
2021-02-04,electronique,Paris Gare de Lyon
2021-02-04,clé,Paris Gare de Lyon
2021-02-04,bagages,Paris Gare de Lyon
2021-02-04,divers,Paris Gare de Lyon
2021-02-05,electronique,Paris Gare de Lyon
2021-02-05,papiers,Paris Gare de Lyon
2021-02-05,divers,Paris Gare de Lyon
2021-02-05,bijoux/montres,Paris Gare de Lyon
2021-02-06,bagages,Paris Gare de Lyon
2021-02-06,clé,Paris Gare de Lyon
2021-02-07,bagages,Paris Gare de Lyon
2021-02-07,papiers,Paris Gare de Lyon
2021-02-07,divers,Paris Gare de Lyon
2021-02-07,velo/trottinette,Paris Gare de Lyon
2021-02-07,electronique,Paris Gare de Lyon
2021-02-07,velo/trottinette,Paris Gare de Lyon
2021-02-08,clé,Paris Gare de Lyon
2021-02-08,electronique,Paris Gare de Lyon
2021-02-08,bagages,Paris Gare de Lyon
2021-02-08,bagages,Paris Gare de Lyon
2021-02-08,bagages,Paris Gare de Lyon
2021-02-08,electronique,Paris Gare de Lyon
2021-02-08,clé,Paris Gare de Lyon
2021-02-08,bagages,Paris Gare de Lyon
2021-02-08,bagages,Paris Gare de Lyon
2021-02-09,livres,Paris Gare de Lyon
2021-02-09,bagages,Paris Gare de Lyon
2021-02-09,bijoux/montres,Paris Gare de Lyon
2021-02-09,clé,Paris Gare de Lyon
2021-02-09,electronique,Paris Gare de Lyon
2021-02-09,bagages,Paris Gare de Lyon
2021-02-09,parapluies,Paris Gare de Lyon
2021-02-09,papiers,Paris Gare de Lyon
2021-02-09,optique,Paris Gare de Lyon
2021-02-09,parapluies,Paris Gare de Lyon
2021-02-09,bagages,Paris Gare de Lyon
2021-02-09,bagages,Paris Gare de Lyon
2021-02-10,bagages,Paris Gare de Lyon
2021-02-10,bagages,Paris Gare de Lyon
2021-02-10,electronique,Paris Gare de Lyon
2021-02-10,papiers,Paris Gare de Lyon
2021-02-10,electronique,Paris Gare de Lyon
2021-02-11,bagages,Paris Gare de Lyon
2021-02-11,bagages,Paris Gare de Lyon
2021-02-11,papiers,Paris Gare de Lyon
2021-02-11,clé,Paris Gare de Lyon
2021-02-11,bagages,Paris Gare de Lyon
2021-02-11,bagages,Paris Gare de Lyon
2021-02-11,electronique,Paris Gare de Lyon
2021-02-11,electronique,Paris Gare de Lyon
2021-02-11,bagages,Paris Gare de Lyon
2021-02-12,bagages,Paris Gare de Lyon
2021-02-12,bagages,Paris Gare de Lyon
2021-02-12,papiers,Paris Gare de Lyon
2021-02-12,papiers,Paris Gare de Lyon
2021-02-12,optique,Paris Gare de Lyon
2021-02-12,optique,Paris Gare de Lyon
2021-02-13,bagages,Paris Gare de Lyon
2021-02-13,bagages,Paris Gare de Lyon
2021-02-13,papiers,Paris Gare de Lyon
2021-02-13,clé,Paris Gare de Lyon
2021-02-13,clé,Paris Gare de Lyon
2021-02-13,electronique,Paris Gare de Lyon
2021-02-13,bagages,Paris Gare de Lyon
2021-02-14,papiers,Paris Gare de Lyon
2021-02-14,clé,Paris Gare de Lyon
2021-02-14,clé,Paris Gare de Lyon
2021-02-14,electronique,Paris Gare de Lyon
2021-02-15,electronique,Paris Gare de Lyon
2021-02-15,sport/loisirs,Paris Gare de Lyon
2021-02-16,papiers,Paris Gare de Lyon
2021-02-16,clé,Paris Gare de Lyon
2021-02-16,electronique,Paris Gare de Lyon
2021-02-16,clé,Paris Gare de Lyon
2021-02-16,bagages,Paris Gare de Lyon
2021-02-16,bagages,Paris Gare de Lyon
2021-02-16,bagages,Paris Gare de Lyon
2021-02-16,bagages,Paris Gare de Lyon
