"DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C"
"2021-01-18,6,3,13,3,4,5,0,94,9,1029,59.5,6,2,0,116,116,116,0,1,8.7,météo très défavorable,17:27:00,08:36:00,3"
"2021-01-19,8,4,23,4,6,7,2.2,84,8,1022,80,8,4,-0,119,266,122,0,2,3.3,météo très défavorable,17:28:00,08:35:00,4"
"2021-01-20,10,5,25,6,8,9,0.2,67,9,1008,86.875,10,4,3,122,119,116,0,2,5.1,météo défavorable,17:30:00,08:34:00,6"
"2021-01-21,10,0,25,8,8,5,13.6,74,7.375,997,82.375,10,7,3,296,116,266,0,2,5.1,météo défavorable,17:31:00,08:33:00,10"
"2021-01-22,7,2,12,6,6,5,11.1,86,6.875,995,95.875,7,4,3,176,122,296,0,2,3.4,météo très défavorable,17:33:00,08:32:00,7"
"2021-01-23,5,0,13,3,5,4,2.6,85,9,1000,64.125,5,3,0,116,122,362,0.7,2,3.4,météo très défavorable,17:34:00,08:31:00,4"
"2021-01-24,5,-1,20,4,4,4,3.6,79,8.75,1004,42,5,1,0,113,116,119,1.2,2,5.2,météo très défavorable,17:36:00,08:30:00,4"
"2021-01-25,6,0,21,2,4,5,1.6,86,6.75,1015,64.5,6,0,-2,332,338,116,1.1,1,5.2,météo très défavorable,17:37:00,08:29:00,2"
"2021-01-26,5,1,13,1,4,4,0.1,84,10,1022,34.375,5,0,-1,116,116,116,0,2,8.7,météo très défavorable,17:39:00,08:28:00,2"
"2021-01-27,7,2,15,3,6,6,0.6,94,6.375,1020,98.125,8,7,-0,122,122,143,0,2,3.4,météo très défavorable,17:41:00,08:27:00,3"
"2021-01-28,13,8,22,10,12,12,11.8,92,8.625,1015,90,13,10,8,296,302,353,0,3,3.4,météo défavorable,17:42:00,08:26:00,9"
"2021-01-29,11,9,35,10,10,10,11.2,82,9.25,1007,93.75,11,10,7,302,176,353,0,3,3.5,météo défavorable,17:44:00,08:24:00,11"
"2021-01-30,12,8,18,9,11,11,17.5,94,8.375,1006,88.875,12,8,6,296,296,353,0,4,3.5,météo très défavorable,17:45:00,08:23:00,8"
"2021-01-31,9,4,14,6,6,7,3.6,85,6.875,1002,100,9,7,2,266,122,122,0,2,3.5,météo très défavorable,17:47:00,08:22:00,8"
"2021-07-01,22,14,12,15,21,22,0.2,76,10,1019,46.75,25,15,15,116,116,176,0,4,13.6,météo favorable,20:58:00,04:51:00,14"
"2021-07-02,24,17,8,18,22,23,0,79,10,1020,18,25,15,18,113,116,116,0,6,14.5,météo favorable,20:57:00,04:52:00,17"
"2021-07-03,22,18,8,18,19,22,1.9,84,9.875,1015,73.625,25,16,18,353,176,353,0,5,10,météo défavorable,20:57:00,04:53:00,18"
"2021-07-04,18,16,14,17,18,17,5.6,89,9,1013,76.75,18,17,17,119,353,266,0,4,10,météo défavorable,20:56:00,04:53:00,17"
"2021-07-05,21,14,16,14,16,21,2.4,93,8,1013,82.25,24,16,14,266,266,353,0,4,10,météo défavorable,20:56:00,04:54:00,15"
"2021-07-06,23,16,27,18,21,22,17.7,96,8.75,1011,49,25,17,18,305,116,116,0,6,12.7,météo très défavorable,20:56:00,04:55:00,17"
"2021-07-07,21,15,14,15,21,19,0.4,82,9.875,1019,54.625,24,15,15,116,119,176,0,5,10.9,météo correcte,20:55:00,04:56:00,15"
"2021-07-08,22,15,14,15,21,21,0.9,92,8.875,1022,68,24,15,15,116,119,353,0,4,10.9,météo défavorable,20:54:00,04:57:00,15"
"2021-07-09,24,16,10,16,23,23,0.1,87,10,1022,45.625,25,15,16,116,119,116,0,5,14.5,météo correcte,20:54:00,04:57:00,16"
"2021-07-10,22,17,17,17,21,22,0.8,79,9.75,1020,63,25,14,17,116,116,353,0,5,11.8,météo correcte,20:53:00,04:58:00,17"
"2021-07-11,25,15,8,15,22,25,0.1,86,10,1017,34,26,14,16,116,116,116,0,5,14.5,météo favorable,20:52:00,04:59:00,15"
"2021-07-12,20,17,10,17,19,20,1.7,82,9.75,1013,62.25,20,16,17,116,116,176,0,5,11.6,météo correcte,20:52:00,05:00:00,17"
"2021-07-13,21,15,12,15,19,20,1.9,93,9.875,1015,69.375,23,15,15,353,353,176,0,4,10.7,météo défavorable,20:51:00,05:01:00,15"
"2021-07-14,20,15,15,15,20,20,1.5,94,7.875,1017,81.875,20,15,15,248,176,353,0,4,9.7,météo défavorable,20:50:00,05:02:00,15"
"2021-07-15,22,17,21,17,22,20,0.1,81,9.375,1020,73.375,25,15,17,119,119,122,0,5,11.6,météo défavorable,20:49:00,05:03:00,17"
"2021-07-16,21,16,17,16,19,20,0,85,10,1024,52.875,23,15,16,116,122,116,0,4,11.6,météo correcte,20:48:00,05:04:00,16"
"2021-07-17,21,15,18,15,19,19,0,89,10,1025,63.875,22,18,14,122,122,119,0,5,9.6,météo correcte,20:47:00,05:06:00,15"
"2021-07-18,27,17,18,17,26,27,0,84,10,1024,1.75,28,19,17,116,113,113,0,6,14.5,météo idéale,20:46:00,05:07:00,18"
"2021-07-19,25,17,19,17,24,24,0,74,10,1021,19,26,19,17,116,116,116,0,6,14.5,météo favorable,20:45:00,05:08:00,19"
"2021-07-20,25,17,15,17,24,24,0,77,10,1021,1.75,26,16,17,116,113,113,0,6,14.5,météo idéale,20:44:00,05:09:00,18"
"2021-07-21,28,19,14,20,26,27,0,72,10,1022,4.375,28,17,20,116,116,116,0,6,14.5,météo favorable,20:43:00,05:10:00,19"
"2021-07-22,29,19,14,19,28,27,0,77,10,1022,10.375,29,18,19,116,116,116,0,7,14.5,météo favorable,20:42:00,05:11:00,20"
"2021-07-23,28,20,21,20,27,27,1,77,10,1018,39.375,28,20,20,113,116,116,0,6,14.5,météo favorable,20:41:00,05:13:00,20"
"2021-07-24,26,20,13,20,25,25,1.9,86,9.375,1010,63,26,19,20,353,176,116,0,6,11.5,météo correcte,20:40:00,05:14:00,21"
"2021-07-25,22,17,17,17,21,22,8.1,81,8.625,1010,77.25,25,16,17,116,353,353,0,6,9.5,météo défavorable,20:38:00,05:15:00,19"
"2021-07-26,24,16,13,16,23,24,3.1,91,9.875,1013,59.625,26,16,16,116,116,353,0,5,11.5,météo correcte,20:37:00,05:16:00,16"
"2021-07-27,24,18,18,18,24,23,0.8,81,9.75,1013,56.25,25,15,18,116,116,200,0,6,11.5,météo correcte,20:36:00,05:18:00,19"
"2021-07-28,22,15,19,16,21,22,0.3,85,10,1014,74.25,25,15,16,176,119,176,0,5,10.5,météo défavorable,20:34:00,05:19:00,16"
"2021-07-29,24,16,14,16,22,24,0,75,10,1015,14.25,25,12,16,116,116,116,0,6,14.5,météo favorable,20:33:00,05:20:00,17"
"2021-07-30,19,14,19,16,19,18,1.7,71,9.875,1014,52.25,19,14,16,116,116,353,0,5,11.5,météo favorable,20:32:00,05:22:00,17"
"2021-07-31,23,15,15,15,22,22,0,78,10,1013,31.375,24,12,15,116,116,116,0,6,14.5,météo favorable,20:30:00,05:23:00,16"
"2021-08-01,22,15,13,15,21,21,0.2,80,10,1013,46.875,24,13,15,176,116,116,0,4,14.5,météo favorable,20:29:00,05:24:00,16"
"2021-08-02,22,16,15,16,22,21,1.6,80,10,1015,61.875,25,14,16,116,116,353,0,5,11.4,météo correcte,20:27:00,05:26:00,16"
"2021-08-03,21,15,12,15,20,20,12.7,93,9.25,1014,69.875,22,15,15,356,353,119,0,4,10.4,météo défavorable,20:26:00,05:27:00,16"
"2021-08-04,22,17,12,17,21,21,0.1,70,10,1013,61.125,24,14,17,116,116,122,0,5,10.4,météo correcte,20:24:00,05:28:00,17"
"2021-08-05,23,15,18,15,22,21,0.1,81,9.375,1015,58.875,24,12,15,116,116,116,0,5,10.4,météo correcte,20:23:00,05:30:00,15"
"2021-08-06,22,16,18,16,21,21,1.1,84,10,1007,79.625,24,15,16,176,122,176,0,4,10.4,météo défavorable,20:21:00,05:31:00,16"
"2021-08-07,20,16,21,16,20,20,1.5,74,9.875,1007,54,20,13,16,116,116,353,0,5,11.4,météo favorable,20:19:00,05:33:00,16"
"2021-08-08,23,14,21,14,21,22,0.1,81,10,1016,50.125,24,12,13,119,116,116,0,4,13.5,météo favorable,20:18:00,05:34:00,15"
