date,type,gare,type_mapped
2021-02-27,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-02-28,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-02-28,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-03-01,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-03-01,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-03-02,"Livres, articles de papéterie",Paris Gare de Lyon,livres
2021-03-02,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-03-02,"Vélos, trottinettes, accessoires 2 roues",Paris Gare de Lyon,velo/trottinette
2021-03-02,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-03-03,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-03-03,Optique,Paris Gare de Lyon,optique
2021-03-04,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-03-04,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-03-04,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-03-04,"Livres, articles de papéterie",Paris Gare de Lyon,livres
2021-03-04,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-03-04,Optique,Paris Gare de Lyon,optique
2021-03-05,"Vêtements, chaussures",Paris Gare de Lyon,vetements
2021-03-05,Parapluies,Paris Gare de Lyon,parapluies
2021-03-05,Divers,Paris Gare de Lyon,divers
2021-03-05,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-03-05,"Vélos, trottinettes, accessoires 2 roues",Paris Gare de Lyon,velo/trottinette
2021-03-05,"Articles d enfants, de puériculture",Paris Gare de Lyon,articles enfants
2021-03-05,"Bijoux, montres",Paris Gare de Lyon,bijoux/montres
2021-03-05,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-03-05,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,clé
2021-03-05,Articles médicaux,Paris Gare de Lyon,médical
2021-03-05,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-03-05,Optique,Paris Gare de Lyon,optique
2021-03-06,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-03-06,"Vêtements, chaussures",Paris Gare de Lyon,vetements
2021-03-06,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-03-06,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-03-07,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-03-07,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,bagages
2021-03-07,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-03-07,Divers,Paris Gare de Lyon,divers
2021-03-07,Optique,Paris Gare de Lyon,optique
2021-03-07,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,clé
2021-03-08,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,clé
2021-03-08,Pièces d identités et papiers personnels,Paris Gare de Lyon,papiers
2021-03-08,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,electronique
2021-03-08,Optique,Paris Gare de Lyon,optique
2021-03-08,"Vêtements, chaussures",Paris Gare de Lyon,vetements
2021-03-08,Divers,Paris Gare de Lyon,divers
