date,type,nom_gare,comptage_normalisé
2021-03-03,,Paris Gare de Lyon,0.04
2021-03-03,,Paris Gare de Lyon,0.04
2021-03-04,,Paris Gare de Lyon,0.04
2021-03-04,,Paris Gare de Lyon,0.04
2021-03-04,,Paris Gare de Lyon,0.04
2021-03-04,,Paris Gare de Lyon,0.04
2021-03-04,,Paris Gare de Lyon,0.04
2021-03-04,,Paris Gare de Lyon,0.04
2021-03-05,,Paris Gare de Lyon,0.04
2021-03-05,,Paris Gare de Lyon,0.04
2021-03-05,,Paris Gare de Lyon,0.04
2021-03-05,,Paris Gare de Lyon,0.04
2021-03-05,,Paris Gare de Lyon,0.04
2021-03-05,,Paris Gare de Lyon,0.04
2021-03-05,,Paris Gare de Lyon,0.04
2021-03-05,,Paris Gare de Lyon,0.04
2021-03-05,,Paris Gare de Lyon,0.04
2021-03-05,,Paris Gare de Lyon,0.04
2021-03-05,,Paris Gare de Lyon,0.04
2021-03-06,,Paris Gare de Lyon,0.04
2021-03-06,,Paris Gare de Lyon,0.04
2021-03-06,,Paris Gare de Lyon,0.04
2021-03-06,,Paris Gare de Lyon,0.04
2021-03-07,,Paris Gare de Lyon,0.04
2021-03-07,,Paris Gare de Lyon,0.04
2021-03-07,,Paris Gare de Lyon,0.04
2021-03-07,,Paris Gare de Lyon,0.04
2021-03-07,,Paris Gare de Lyon,0.04
2021-03-08,,Paris Gare de Lyon,0.04
2021-03-08,,Paris Gare de Lyon,0.04
2021-03-08,,Paris Gare de Lyon,0.04
2021-03-08,,Paris Gare de Lyon,0.04
2021-03-08,,Paris Gare de Lyon,0.04
2021-03-08,,Paris Gare de Lyon,0.04
2021-03-08,,Paris Gare de Lyon,0.04
2021-03-09,,Paris Gare de Lyon,0.04
2021-03-09,,Paris Gare de Lyon,0.04
2021-03-09,,Paris Gare de Lyon,0.04
2021-03-09,,Paris Gare de Lyon,0.04
2021-03-10,,Paris Gare de Lyon,0.04
2021-03-10,,Paris Gare de Lyon,0.04
2021-03-10,,Paris Gare de Lyon,0.04
2021-03-10,,Paris Gare de Lyon,0.04
2021-03-10,,Paris Gare de Lyon,0.04
2021-03-10,,Paris Gare de Lyon,0.04
2021-03-10,,Paris Gare de Lyon,0.04
2021-03-10,,Paris Gare de Lyon,0.04
